carrier,range_class,energy_fJ,speed,programmability,best_role,decision
direct electrical fourth face,adjacent/local,~0.15/event,electromagnetic/RC local,static/promoted,nearest-neighbor analog/event,KEEP
shielded electrical event spine,~0.18 mm tested proxy,~0.67 one tap; ~1.34 four taps,electromagnetic/RC local,autonomic taps,regional fanout,KEEP
capacitive contactless coupling,few um face-to-face,41-80/bit published older CMOS,sub-ns class,alignment-defined,contactless adjacent tiers/modules,MODE_ONLY
inductive near-field coupling,tens um,~65/bit published older CMOS,high-speed,coil/alignment-defined,contactless vertical module/tier,MODE_ONLY
mmWave/RF wireless,mm-cm package,~320+ fJ/bit published TX+RX class; often higher,GHz,wireless broadcast,rare broadcast/clock/control where wiring is impossible,MODE_ONLY
conventional silicon photonic link,mm-cm+,~120 fJ/bit TX+RX front ends; ~150 incl optimistic laser screen,very high,photonic switches/WDM,long high-bandwidth robust burst,MODE_ONLY_KEEP
direct-photocharge Optical Void Chord,mm-cm cavity model,~9-66/event scenario before tuning/reset,light flight ~3.34 ps/mm,promoted/static endpoint,long hot one-to-one event/chord,PROMISING_FUTURE_PROCESS
3D polymer optical waveguide,<~1 mm favorable in measured demo,source dependent; propagation loss 1.93-3.71 dB/mm demo,optical,fixed,short bend/crossing around obstruction,MODE_ONLY
acoustic/phononic,local-mm,not established here,~8.4 km/s silicon longitudinal,resonant/filter structures,filters/delays/sensing; not fast routing,REJECT_NORMAL_ROUTING
heat/thermal diffusion,regional slow,environmental state not bit link,~L^2/alpha, natural feedback,thermal brake/health,KEEP_SLOW_CONTROL
magnetic nonvolatile state,local state,process/device dependent,not runtime carrier here,persistent,verified long-lived route/config anchor,FUTURE_PROCESS
microfluidic cavity channel,package/3D volume,pump/thermal not bit energy,fluidic slow,manifold,cooling near active walls/hot exact modules,KEEP_THERMAL_INFRA
nonvolatile photonic MEMS/PCM switch,endpoint/router,~1 pJ theoretical MEMS route write; zero static,slow reconfiguration; fast optical pass,nonvolatile,rare optical route consolidation,PROMISING_FUTURE_PROCESS
